year,sex,age,value
2010,1,78,602784
2010,1,79,573879
2010,1,80,549207
2010,1,81,496002
2010,1,82,462695
2010,1,83,422874
2010,1,84,375568
2010,1,85,337577
2010,1,86,295335
2010,1,87,253611
2010,1,88,216238
2010,1,89,180508
2010,1,90,141449
2010,1,91,104351
2010,1,92,83529
2010,1,93,60248
2010,1,94,43883
2010,1,95,31785
2010,1,96,22059
2010,1,97,14801
2010,1,98,9519
2010,1,99,6116
2010,1,100,9357
2011,1,0,2028430
2011,1,1,2025272
2011,1,2,2026392
2011,1,3,2093789
2011,1,4,2105836
2011,1,5,2089022
2011,1,6,2081475
2011,1,7,2084118
2011,1,8,2067751
2011,1,9,2058990
2011,1,10,2111575
2011,1,11,2146781
2011,1,12,2109450
2011,1,13,2108623
2011,1,14,2110350
2011,1,15,2129048
2011,1,16,2178470
2011,1,17,2226108
2011,1,18,2265781
2011,1,19,2320062
2011,1,20,2348608
2011,1,21,2344284
2011,1,22,2252078
2011,1,23,2198226
2011,1,24,2160395
2011,1,25,2169555
2011,1,26,2184339
2011,1,27,2109020
2011,1,28,2141229
2011,1,29,2140469
2011,1,30,2117055
2011,1,31,2171425
2011,1,32,2029606
2011,1,33,1989129
2011,1,34,1965744
2011,1,35,1910494
2011,1,36,1975511
2011,1,37,1907660
2011,1,38,1934009
2011,1,39,2027326
2011,1,40,2146439
2011,1,41,2186061
2011,1,42,2070467
2011,1,43,2028037
2011,1,44,2026684
2011,1,45,2069051
2011,1,46,2195447
2011,1,47,2231275
2011,1,48,2229164
2011,1,49,2225431
2011,1,50,2251372
2011,1,51,2278720
2011,1,52,2196842
2011,1,53,2182975
2011,1,54,2155731
2011,1,55,2075671
2011,1,56,2058469
2011,1,57,1967228
2011,1,58,1892065
2011,1,59,1820261
2011,1,60,1760594
2011,1,61,1723015
2011,1,62,1671441
2011,1,63,1657416
2011,1,64,1730174
2011,1,65,1272674
2011,1,66,1252639
2011,1,67,1218400
2011,1,68,1246205
2011,1,69,1083127
2011,1,70,984581
2011,1,71,931278
2011,1,72,879727
2011,1,73,837938
2011,1,74,769821
2011,1,75,732875
2011,1,76,698428
2011,1,77,626540
2011,1,78,602282
2011,1,79,572620
2011,1,80,542150
2011,1,81,515531
2011,1,82,462132
2011,1,83,427522
2011,1,84,387107
2011,1,85,340237
2011,1,86,302468
2011,1,87,261388
2011,1,88,221563
2011,1,89,186006
2011,1,90,152981
2011,1,91,117737
2011,1,92,85403
2011,1,93,66981
2011,1,94,47250
2011,1,95,33680
2011,1,96,23857
2011,1,97,16144
2011,1,98,10576
2011,1,99,6609
2011,1,100,10086
2012,1,0,2007742
2012,1,1,2035213
2012,1,2,2031333
2012,1,3,2031550
2012,1,4,2098502
2012,1,5,2110631
2012,1,6,2093845
2012,1,7,2086089
2012,1,8,2088714
2012,1,9,2072429
2012,1,10,2063702
2012,1,11,2116386
2012,1,12,2151622
2012,1,13,2114472
2012,1,14,2114017
2012,1,15,2116422
2012,1,16,2136925
2012,1,17,2189185
2012,1,18,2238578
2012,1,19,2279599
2012,1,20,2335652
2012,1,21,2366487
2012,1,22,2361027
2012,1,23,2267414
2012,1,24,2212147
2012,1,25,2173734
2012,1,26,2182143
2012,1,27,2195584
2012,1,28,2119179
2012,1,29,2150849
2012,1,30,2148754
2012,1,31,2124091
2012,1,32,2177586
2012,1,33,2034534
2012,1,34,1993628
2012,1,35,1969656
2012,1,36,1913284
2012,1,37,1977628
2012,1,38,1909168
2012,1,39,1934667
2012,1,40,2027113
2012,1,41,2145196
2012,1,42,2183944
2012,1,43,2067625
2012,1,44,2024705
2012,1,45,2022713
2012,1,46,2064075
2012,1,47,2189210
2012,1,48,2223568
2012,1,49,2220297
2012,1,50,2215498
2012,1,51,2239754
2012,1,52,2265929
2012,1,53,2183254
2012,1,54,2168516
2012,1,55,2139997
2012,1,56,2059164
2012,1,57,2040962
2012,1,58,1949424
2012,1,59,1873689
2012,1,60,1801249
2012,1,61,1740996
2012,1,62,1702808
2012,1,63,1650486
2012,1,64,1635093
2012,1,65,1705544
2012,1,66,1252879
2012,1,67,1231474
2012,1,68,1195722
2012,1,69,1221247
2012,1,70,1060015
2012,1,71,961908
2012,1,72,907894
2012,1,73,855507
2012,1,74,812693
2012,1,75,744422
2012,1,76,706329
2012,1,77,670628
2012,1,78,598983
2012,1,79,573200
2012,1,80,541941
2012,1,81,509869
2012,1,82,481506
2012,1,83,428143
2012,1,84,392498
2012,1,85,351909
2012,1,86,305927
2012,1,87,268803
2012,1,88,229296
2012,1,89,191703
2012,1,90,158312
2012,1,91,128197
2012,1,92,96761
2012,1,93,69018
2012,1,94,52976
2012,1,95,36519
2012,1,96,25458
2012,1,97,17619
2012,1,98,11631
2012,1,99,7438
2012,1,100,10995
2013,1,0,2009723
2013,1,1,2015723
2013,1,2,2042266
2013,1,3,2037080
2013,1,4,2036786
2013,1,5,2103606
2013,1,6,2115669
2013,1,7,2098702
2013,1,8,2090824
2013,1,9,2093577
2013,1,10,2077248
2013,1,11,2068627
2013,1,12,2121390
2013,1,13,2156778
2013,1,14,2120133
2013,1,15,2120554
2013,1,16,2124732
2013,1,17,2147890
2013,1,18,2202317
2013,1,19,2252503
2013,1,20,2293011
2013,1,21,2349719
2013,1,22,2382114
2013,1,23,2375526
2013,1,24,2280370
2013,1,25,2223785
2013,1,26,2184668
2013,1,27,2192738
2013,1,28,2204716
2013,1,29,2128019
2013,1,30,2158981
2013,1,31,2155665
2013,1,32,2130183
2013,1,33,2182397
2013,1,34,2038339
2013,1,35,1996920
2013,1,36,1971608
2013,1,37,1914850
2013,1,38,1978571
2013,1,39,1909770
2013,1,40,1934381
2013,1,41,2026212
2013,1,42,2143029
2013,1,43,2180536
2013,1,44,2063864
2013,1,45,2020098
2013,1,46,2017467
2013,1,47,2057945
2013,1,48,2181521
2013,1,49,2214626
2013,1,50,2209926
2013,1,51,2203729
2013,1,52,2226815
2013,1,53,2251960
2013,1,54,2168596
2013,1,55,2152468
2013,1,56,2122609
2013,1,57,2041380
2013,1,58,2022021
2013,1,59,1929868
2013,1,60,1853735
2013,1,61,1780760
2013,1,62,1719700
2013,1,63,1680534
2013,1,64,1627262
2013,1,65,1610777
2013,1,66,1678735
2013,1,67,1231442
2013,1,68,1208751
2013,1,69,1171554
2013,1,70,1194603
2013,1,71,1035021
2013,1,72,937172
2013,1,73,882397
2013,1,74,829198
2013,1,75,785326
2013,1,76,716910
2013,1,77,677682
2013,1,78,640661
2013,1,79,569368
2013,1,80,541973
2013,1,81,509094
2013,1,82,475493
2013,1,83,445431
2013,1,84,392390
2013,1,85,356145
2013,1,86,315860
2013,1,87,271248
2013,1,88,235278
2013,1,89,197825
2013,1,90,162950
2013,1,91,132138
2013,1,92,105242
2013,1,93,77739
2013,1,94,54512
2013,1,95,40871
2013,1,96,27473
2013,1,97,18699
2013,1,98,12642
2013,1,99,8125
2013,1,100,12081
2014,1,0,2024511
2014,1,1,2018511
2014,1,2,2023752
2014,1,3,2049250
2014,1,4,2043524
2014,1,5,2042790
2014,1,6,2109355
2014,1,7,2121426
2014,1,8,2104331
2014,1,9,2096379
2014,1,10,2099044
2014,1,11,2082837
2014,1,12,2074284
2014,1,13,2127295
2014,1,14,2163481
2014,1,15,2128005
2014,1,16,2129926
2014,1,17,2136674
2014,1,18,2162067
2014,1,19,2217880
2014,1,20,2266443
2014,1,21,2307026
2014,1,22,2365020
2014,1,23,2398094
2014,1,24,2389695
2014,1,25,2293154
2014,1,26,2236230
2014,1,27,2196861
2014,1,28,2203973
2014,1,29,2215152
2014,1,30,2137789
2014,1,31,2167380
2014,1,32,2162988
2014,1,33,2136230
2014,1,34,2187295
2014,1,35,2042247
2014,1,36,1999878
2014,1,37,1973855
2014,1,38,1916729
2014,1,39,1980094
2014,1,40,1910458
2014,1,41,1934049
2014,1,42,2025176
2014,1,43,2140743
2014,1,44,2177253
2014,1,45,2059693
2014,1,46,2015105
2014,1,47,2012086
2014,1,48,2051253
2014,1,49,2173307
2014,1,50,2204826
2014,1,51,2198637
2014,1,52,2191544
2014,1,53,2213244
2014,1,54,2237015
2014,1,55,2152616
2014,1,56,2134990
2014,1,57,2104109
2014,1,58,2022236
2014,1,59,2001946
2014,1,60,1909232
2014,1,61,1832255
2014,1,62,1758688
2014,1,63,1696966
2014,1,64,1657468
2014,1,65,1603525
2014,1,66,1585782
2014,1,67,1650800
2014,1,68,1208893
2014,1,69,1184909
2014,1,70,1146390
2014,1,71,1167386
2014,1,72,1009237
2014,1,73,911716
2014,1,74,856210
2014,1,75,802226
2014,1,76,757396
2014,1,77,688946
2014,1,78,648503
2014,1,79,610218
2014,1,80,539342
2014,1,81,510456
2014,1,82,476098
2014,1,83,441139
2014,1,84,409758
2014,1,85,357527
2014,1,86,321150
2014,1,87,281668
2014,1,88,238929
2014,1,89,204581
2014,1,90,169506
2014,1,91,137534
2014,1,92,109487
2014,1,93,85808
